latitude,longitude,elevation,time
41.384586,2.117138,76.696,2026/06/01 13:18:56+00
41.384206,2.117136,76.631,2026/06/01 13:19:02+00
41.38416,2.117145,78.624,2026/06/01 13:19:09+00
41.384143,2.117219,78.609,2026/06/01 13:19:13+00
41.384123,2.117276,67.121,2026/06/01 13:19:20+00
41.384133,2.117347,66.695,2026/06/01 13:19:24+00
41.384154,2.117412,66.616,2026/06/01 13:19:28+00
41.384087,2.117281,66.621,2026/06/01 13:19:33+00
41.384149,2.117355,67.135,2026/06/01 13:19:35+00
41.38412,2.117289,86.184,2026/06/01 13:19:37+00
41.384088,2.117233,74.65,2026/06/01 13:19:44+00
41.384054,2.117181,74.617,2026/06/01 13:19:49+00
41.384034,2.117111,73.674,2026/06/01 13:19:54+00
41.384023,2.117034,72.679,2026/06/01 13:19:59+00
41.383952,2.116871,72.605,2026/06/01 13:20:03+00
41.384,2.116977,84.625,2026/06/01 13:20:06+00
41.383987,2.116913,82.109,2026/06/01 13:20:08+00
41.383985,2.116838,77.639,2026/06/01 13:20:12+00
41.38393,2.116844,69.643,2026/06/01 13:20:18+00
41.383878,2.116812,69.624,2026/06/01 13:20:24+00
41.383826,2.11678,69.679,2026/06/01 13:20:29+00
41.383777,2.116789,69.663,2026/06/01 13:20:33+00
41.383727,2.1168,69.622,2026/06/01 13:20:37+00
41.383681,2.116807,69.628,2026/06/01 13:20:40+00
41.383633,2.116817,69.665,2026/06/01 13:20:44+00
41.383596,2.116874,69.672,2026/06/01 13:20:48+00
41.383572,2.116934,68.625,2026/06/01 13:20:52+00
41.383541,2.116977,66.626,2026/06/01 13:20:56+00
41.383493,2.117013,65.608,2026/06/01 13:21:01+00
41.383444,2.117035,64.609,2026/06/01 13:21:05+00
41.383393,2.117056,64.634,2026/06/01 13:21:10+00
41.383349,2.117091,63.648,2026/06/01 13:21:15+00
41.383299,2.117111,62.619,2026/06/01 13:21:19+00
41.383254,2.117128,62.684,2026/06/01 13:21:23+00
41.383071,2.117204,62.158,2026/06/01 13:21:27+00
41.38314,2.117174,70.637,2026/06/01 13:21:29+00
41.383105,2.117216,65.653,2026/06/01 13:21:36+00
41.383058,2.117211,65.63,2026/06/01 13:21:41+00
41.383007,2.117232,64.647,2026/06/01 13:21:46+00
41.382968,2.117268,63.672,2026/06/01 13:21:50+00
41.382921,2.117282,61.613,2026/06/01 13:21:55+00
41.382871,2.117304,60.614,2026/06/01 13:22:00+00
41.382823,2.117335,60.609,2026/06/01 13:22:04+00
41.38278,2.117353,59.699,2026/06/01 13:22:08+00
41.382735,2.11737,59.623,2026/06/01 13:22:12+00
41.382689,2.117387,59.654,2026/06/01 13:22:16+00
41.382645,2.117407,59.679,2026/06/01 13:22:20+00
41.382603,2.117434,58.683,2026/06/01 13:22:25+00
41.382553,2.117432,55.692,2026/06/01 13:22:30+00
41.382527,2.117488,55.668,2026/06/01 13:22:38+00
41.382565,2.117542,54.665,2026/06/01 13:22:43+00
41.382596,2.117599,54.652,2026/06/01 13:22:48+00
41.382619,2.117672,55.613,2026/06/01 13:22:53+00
41.382648,2.117721,56.143,2026/06/01 13:22:59+00
41.382687,2.117685,56.107,2026/06/01 13:23:03+00
41.382745,2.117664,56.609,2026/06/01 13:23:08+00
41.382796,2.117643,56.613,2026/06/01 13:23:14+00
41.382854,2.11764,57.637,2026/06/01 13:23:20+00
41.382897,2.117618,58.648,2026/06/01 13:23:25+00
41.382943,2.117588,59.633,2026/06/01 13:23:29+00
41.382992,2.117583,58.637,2026/06/01 13:23:33+00
41.383034,2.117562,58.676,2026/06/01 13:23:39+00
41.383082,2.117541,57.612,2026/06/01 13:24:18+00
41.383039,2.117591,54.669,2026/06/01 13:26:02+00
41.38307,2.117544,56.666,2026/06/01 13:26:07+00
41.383077,2.117481,59.695,2026/06/01 13:26:55+00
41.383058,2.117547,53.649,2026/06/01 13:27:05+00
41.383052,2.117607,54.623,2026/06/01 13:27:09+00
41.383052,2.117669,55.609,2026/06/01 13:27:13+00
41.383046,2.117748,55.661,2026/06/01 13:27:19+00
41.383042,2.117822,55.625,2026/06/01 13:27:23+00
41.383032,2.117887,56.156,2026/06/01 13:27:27+00
41.383036,2.117949,56.671,2026/06/01 13:27:31+00
41.383028,2.118025,57.665,2026/06/01 13:27:36+00
41.383031,2.118086,57.614,2026/06/01 13:27:40+00
41.383036,2.118164,58.63,2026/06/01 13:27:44+00
41.383033,2.118228,58.617,2026/06/01 13:27:48+00
41.38305,2.118287,58.694,2026/06/01 13:27:52+00
41.383063,2.118354,58.614,2026/06/01 13:27:56+00
41.383067,2.118415,58.654,2026/06/01 13:28:00+00
41.383071,2.118483,58.609,2026/06/01 13:28:04+00
41.383045,2.118547,58.609,2026/06/01 13:28:08+00
41.383046,2.118615,58.623,2026/06/01 13:28:12+00
41.38306,2.118688,58.697,2026/06/01 13:28:17+00
41.38306,2.118754,57.638,2026/06/01 13:28:21+00
41.383077,2.118903,57.613,2026/06/01 13:28:29+00
41.383087,2.118968,57.697,2026/06/01 13:28:35+00
41.383071,2.119034,57.196,2026/06/01 13:28:40+00
41.383027,2.119078,56.612,2026/06/01 13:28:45+00
41.382998,2.119125,56.689,2026/06/01 13:28:49+00
41.382971,2.119263,56.676,2026/06/01 13:28:58+00
41.382947,2.119317,56.613,2026/06/01 13:29:03+00
41.382937,2.119382,58.143,2026/06/01 13:29:07+00
41.382926,2.119446,56.607,2026/06/01 13:29:11+00
41.382879,2.119484,55.609,2026/06/01 13:29:17+00
41.382825,2.119517,52.633,2026/06/01 13:29:22+00
41.382783,2.119557,51.637,2026/06/01 13:29:27+00
41.382799,2.119617,51.678,2026/06/01 13:29:32+00
41.382818,2.119676,53.633,2026/06/01 13:29:37+00
41.382833,2.119742,53.617,2026/06/01 13:29:43+00
41.38285,2.119805,53.636,2026/06/01 13:29:48+00
41.382877,2.119872,53.692,2026/06/01 13:29:53+00
41.382897,2.119941,54.689,2026/06/01 13:29:58+00
41.382916,2.120006,55.636,2026/06/01 13:30:02+00
41.382936,2.120062,56.683,2026/06/01 13:30:06+00
41.382943,2.120126,56.625,2026/06/01 13:30:11+00
41.382961,2.120186,57.617,2026/06/01 13:30:16+00
41.382914,2.120222,58.609,2026/06/01 13:30:25+00
41.382867,2.120237,59.62,2026/06/01 13:30:31+00
41.382821,2.120257,57.684,2026/06/01 13:30:39+00
41.382728,2.120179,57.665,2026/06/01 13:30:55+00
41.382795,2.120312,75.69,2026/06/01 13:30:57+00
41.382789,2.120427,60.694,2026/06/01 13:31:35+00
41.382847,2.120482,60.643,2026/06/01 13:31:37+00
41.382843,2.120547,58.119,2026/06/01 13:31:57+00
41.382864,2.120605,58.656,2026/06/01 13:32:07+00
41.382883,2.12066,57.673,2026/06/01 13:32:16+00
41.382937,2.120636,57.695,2026/06/01 13:32:30+00
41.382923,2.120528,57.649,2026/06/01 13:32:48+00
41.38296,2.120595,57.623,2026/06/01 13:32:51+00
41.382969,2.120663,61.609,2026/06/01 13:32:53+00
41.382965,2.120602,60.611,2026/06/01 13:33:00+00
41.382921,2.120573,58.665,2026/06/01 13:33:14+00
41.38286,2.120567,58.616,2026/06/01 13:34:05+00
41.382805,2.120539,58.671,2026/06/01 13:34:07+00
41.382878,2.120571,62.615,2026/06/01 13:34:11+00
41.382947,2.120603,58.644,2026/06/01 13:35:10+00
41.382904,2.12057,60.69,2026/06/01 13:35:39+00
41.382872,2.12062,62.177,2026/06/01 13:35:42+00
41.382932,2.120568,64.624,2026/06/01 13:35:47+00
41.382978,2.120583,60.686,2026/06/01 13:36:11+00
41.383021,2.120608,59.66,2026/06/01 13:36:17+00
41.383063,2.120639,59.626,2026/06/01 13:36:22+00
41.383102,2.120688,58.609,2026/06/01 13:36:28+00
41.383131,2.120738,57.62,2026/06/01 13:36:34+00
41.383158,2.1208,57.634,2026/06/01 13:36:42+00
41.383231,2.120958,58.655,2026/06/01 13:36:47+00
41.383182,2.120936,59.16,2026/06/01 13:36:52+00
41.383214,2.120991,57.184,2026/06/01 13:36:59+00
41.383245,2.12105,58.633,2026/06/01 13:37:06+00
41.383256,2.121112,57.679,2026/06/01 13:37:12+00
41.383376,2.121148,57.696,2026/06/01 13:37:32+00
41.38331,2.121232,57.673,2026/06/01 13:37:34+00
41.383152,2.120827,56.638,2026/06/01 13:38:22+00
41.383506,2.121213,67.67,2026/06/01 13:38:25+00
41.383575,2.121212,56.617,2026/06/01 13:38:56+00
41.383562,2.121149,59.109,2026/06/01 13:39:02+00
41.384656,2.117981,60.665,2026/06/01 14:17:01+00
41.384624,2.117935,69.689,2026/06/01 14:17:03+00
