X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.12004,41.384199,"0","0","54",60.511,2026/06/01 13:23:26+00,,,,,,,,,,,,,,,,,,,,,
2.120039,41.38415,"0","0","55",60.509,2026/06/01 13:23:29+00,,,,,,,,,,,,,,,,,,,,,
2.120112,41.384158,"0","0","56",60.495,2026/06/01 13:23:35+00,,,,,,,,,,,,,,,,,,,,,
2.120182,41.38418,"0","0","57",60.399,2026/06/01 13:23:40+00,,,,,,,,,,,,,,,,,,,,,
2.120224,41.384222,"0","0","58",60.37,2026/06/01 13:23:45+00,,,,,,,,,,,,,,,,,,,,,
2.120261,41.384262,"0","0","59",60.375,2026/06/01 13:23:49+00,,,,,,,,,,,,,,,,,,,,,
2.120309,41.38429,"0","0","60",60.449,2026/06/01 13:23:55+00,,,,,,,,,,,,,,,,,,,,,
2.12037,41.384313,"0","0","61",60.696,2026/06/01 13:24:00+00,,,,,,,,,,,,,,,,,,,,,
2.120441,41.384315,"0","0","62",60.787,2026/06/01 13:24:06+00,,,,,,,,,,,,,,,,,,,,,
2.120508,41.384326,"0","0","63",60.862,2026/06/01 13:24:12+00,,,,,,,,,,,,,,,,,,,,,
2.120572,41.384337,"0","0","64",60.998,2026/06/01 13:24:17+00,,,,,,,,,,,,,,,,,,,,,
2.120635,41.384353,"0","0","65",61.194,2026/06/01 13:24:23+00,,,,,,,,,,,,,,,,,,,,,
2.120693,41.38437,"0","0","66",61.557,2026/06/01 13:24:28+00,,,,,,,,,,,,,,,,,,,,,
2.120751,41.384389,"0","0","67",61.522,2026/06/01 13:24:33+00,,,,,,,,,,,,,,,,,,,,,
2.120799,41.384416,"0","0","68",61.509,2026/06/01 13:24:44+00,,,,,,,,,,,,,,,,,,,,,
2.120872,41.384419,"0","0","69",61.551,2026/06/01 13:24:59+00,,,,,,,,,,,,,,,,,,,,,
2.120937,41.384433,"0","0","70",61.085,2026/06/01 13:25:05+00,,,,,,,,,,,,,,,,,,,,,
2.120995,41.384458,"0","0","71",60.766,2026/06/01 13:25:14+00,,,,,,,,,,,,,,,,,,,,,
2.121055,41.384457,"0","0","72",60.651,2026/06/01 13:25:24+00,,,,,,,,,,,,,,,,,,,,,
2.121115,41.384479,"0","0","73",60.545,2026/06/01 13:25:33+00,,,,,,,,,,,,,,,,,,,,,
2.121176,41.384484,"0","0","74",60.392,2026/06/01 13:25:38+00,,,,,,,,,,,,,,,,,,,,,
2.121246,41.384465,"0","0","75",60.293,2026/06/01 13:25:44+00,,,,,,,,,,,,,,,,,,,,,
2.121276,41.384421,"0","0","76",60.278,2026/06/01 13:25:48+00,,,,,,,,,,,,,,,,,,,,,
2.12133,41.384385,"0","0","77",60.144,2026/06/01 13:25:53+00,,,,,,,,,,,,,,,,,,,,,
2.121379,41.384345,"0","0","78",60.071,2026/06/01 13:25:58+00,,,,,,,,,,,,,,,,,,,,,
2.121428,41.38431,"0","0","79",59.841,2026/06/01 13:26:04+00,,,,,,,,,,,,,,,,,,,,,
2.121472,41.38427,"0","0","80",59.615,2026/06/01 13:26:22+00,,,,,,,,,,,,,,,,,,,,,
2.1215,41.38423,"0","0","81",59.409,2026/06/01 13:26:28+00,,,,,,,,,,,,,,,,,,,,,
2.121545,41.384191,"0","0","82",59.179,2026/06/01 13:26:33+00,,,,,,,,,,,,,,,,,,,,,
2.121598,41.384164,"0","0","83",58.813,2026/06/01 13:26:38+00,,,,,,,,,,,,,,,,,,,,,
2.121651,41.384133,"0","0","84",58.614,2026/06/01 13:26:42+00,,,,,,,,,,,,,,,,,,,,,
2.121672,41.384078,"0","0","85",58.669,2026/06/01 13:26:46+00,,,,,,,,,,,,,,,,,,,,,
2.121685,41.384023,"0","0","86",58.593,2026/06/01 13:26:50+00,,,,,,,,,,,,,,,,,,,,,
2.121705,41.383977,"0","0","87",58.59,2026/06/01 13:26:54+00,,,,,,,,,,,,,,,,,,,,,
2.121719,41.38393,"0","0","88",58.561,2026/06/01 13:26:58+00,,,,,,,,,,,,,,,,,,,,,
2.121746,41.383887,"0","0","89",58.656,2026/06/01 13:27:02+00,,,,,,,,,,,,,,,,,,,,,
2.121775,41.383843,"0","0","90",58.912,2026/06/01 13:27:06+00,,,,,,,,,,,,,,,,,,,,,
2.121792,41.383786,"0","0","91",59.089,2026/06/01 13:27:11+00,,,,,,,,,,,,,,,,,,,,,
