latitude,longitude,elevation,time
41.384537,2.117887,75.493,2026-06-01 13:17:09.607000+00:00
41.384464,2.117351,71.665,2026-06-01 13:17:51.902000+00:00
41.38426,2.117198,70.421,2026-06-01 13:18:13.070000+00:00
41.384308,2.117317,70.709,2026-06-01 13:18:17.297000+00:00
41.38434,2.117362,70.961,2026-06-01 13:18:19.298000+00:00
41.384352,2.117424,71.265,2026-06-01 13:18:21.296000+00:00
41.384307,2.117401,70.846,2026-06-01 13:18:23.297000+00:00
41.38426,2.117349,70.591,2026-06-01 13:18:24.297000+00:00
41.38421,2.117296,70.215,2026-06-01 13:18:25.297000+00:00
41.38416,2.117269,70.092,2026-06-01 13:18:27.298000+00:00
41.38412,2.117299,69.762,2026-06-01 13:18:34.337000+00:00
41.384125,2.117364,69.759,2026-06-01 13:18:43.337000+00:00
41.384127,2.117429,69.732,2026-06-01 13:18:50.337000+00:00
41.384127,2.117494,69.725,2026-06-01 13:18:58.337000+00:00
41.384147,2.117551,70.226,2026-06-01 13:19:03.336000+00:00
41.384167,2.117626,70.908,2026-06-01 13:19:08.336000+00:00
41.384184,2.117694,71.509,2026-06-01 13:19:12.336000+00:00
41.384204,2.117769,72.264,2026-06-01 13:19:16.337000+00:00
41.384219,2.117827,72.978,2026-06-01 13:19:20.337000+00:00
41.384234,2.117884,73.669,2026-06-01 13:19:24.337000+00:00
41.384252,2.117954,74.584,2026-06-01 13:19:29.338000+00:00
41.38427,2.118029,75.598,2026-06-01 13:19:34.336000+00:00
41.384287,2.118094,75.865,2026-06-01 13:19:38.335000+00:00
41.384302,2.118151,76.095,2026-06-01 13:19:41.336000+00:00
41.384317,2.118209,76.222,2026-06-01 13:19:47.336000+00:00
41.384335,2.118277,76.645,2026-06-01 13:19:54.337000+00:00
41.384338,2.11834,76.632,2026-06-01 13:20:01.336000+00:00
41.384248,2.118453,73.092,2026-06-01 13:20:39.335000+00:00
41.384191,2.118483,71.411,2026-06-01 13:20:43.336000+00:00
41.384139,2.118516,69.809,2026-06-01 13:20:48.336000+00:00
41.384087,2.118539,68.515,2026-06-01 13:20:51.335000+00:00
41.384029,2.118566,67.329,2026-06-01 13:20:55.335000+00:00
41.383979,2.118589,66.35,2026-06-01 13:20:57.335000+00:00
41.383912,2.118619,65.325,2026-06-01 13:21:03.335000+00:00
41.38386,2.118642,64.569,2026-06-01 13:21:10.336000+00:00
41.383815,2.118662,63.736,2026-06-01 13:21:13.337000+00:00
41.383743,2.11869,62.466,2026-06-01 13:21:18.336000+00:00
41.383691,2.11871,61.473,2026-06-01 13:21:24.335000+00:00
41.383638,2.118733,60.526,2026-06-01 13:21:30.335000+00:00
41.38357,2.11876,59.383,2026-06-01 13:21:33.335000+00:00
41.383633,2.118735,60.425,2026-06-01 13:21:35.336000+00:00
41.383598,2.118803,59.817,2026-06-01 13:21:40.336000+00:00
41.3836,2.118868,59.809,2026-06-01 13:21:41.336000+00:00
41.383605,2.118935,59.68,2026-06-01 13:21:42.335000+00:00
41.383613,2.118997,59.364,2026-06-01 13:21:43.335000+00:00
41.383633,2.119087,59.065,2026-06-01 13:21:45.337000+00:00
41.383653,2.119162,58.93,2026-06-01 13:21:48.336000+00:00
41.383666,2.119229,59.094,2026-06-01 13:21:54.335000+00:00
41.383723,2.119254,60.161,2026-06-01 13:22:00.335000+00:00
41.383763,2.119282,60.951,2026-06-01 13:22:04.336000+00:00
41.383815,2.119312,61.918,2026-06-01 13:22:08.336000+00:00
41.383847,2.119367,62.471,2026-06-01 13:22:12.335000+00:00
41.383887,2.119395,63.181,2026-06-01 13:22:17.336000+00:00
41.383935,2.119373,63.761,2026-06-01 13:22:21.335000+00:00
41.383982,2.119345,64.217,2026-06-01 13:22:26.335000+00:00
41.383955,2.11955,63.609,2026-06-01 13:22:42.342000+00:00
41.38392,2.119597,63.37,2026-06-01 13:22:51.335000+00:00
41.383958,2.119394,63.954,2026-06-01 13:23:00.335000+00:00
41.384035,2.119329,64.815,2026-06-01 13:23:33.335000+00:00
41.384018,2.119439,64.41,2026-06-01 13:27:23.337000+00:00
41.384036,2.119507,64.584,2026-06-01 13:27:29.336000+00:00
41.384059,2.119594,64.581,2026-06-01 13:27:33.335000+00:00
41.384076,2.119664,64.551,2026-06-01 13:27:40.335000+00:00
41.384094,2.119731,64.598,2026-06-01 13:27:46.336000+00:00
41.384041,2.119709,64.151,2026-06-01 13:27:54.336000+00:00
41.384006,2.119667,63.999,2026-06-01 13:27:57.335000+00:00
41.383956,2.11964,63.607,2026-06-01 13:28:01.336000+00:00
41.383928,2.119578,63.427,2026-06-01 13:28:06.336000+00:00
41.383921,2.119515,63.309,2026-06-01 13:28:09.336000+00:00
41.383908,2.119447,63.271,2026-06-01 13:28:12.335000+00:00
41.383865,2.119472,62.595,2026-06-01 13:28:16.336000+00:00
41.383817,2.119475,61.536,2026-06-01 13:28:18.336000+00:00
41.383775,2.119505,60.861,2026-06-01 13:28:22.336000+00:00
41.383718,2.119485,59.615,2026-06-01 13:28:26.336000+00:00
41.383673,2.119462,58.522,2026-06-01 13:28:30.336000+00:00
41.383638,2.119414,57.732,2026-06-01 13:28:35.337000+00:00
41.383605,2.119366,57.359,2026-06-01 13:28:39.335000+00:00
41.383572,2.119306,57.312,2026-06-01 13:28:44.337000+00:00
41.383545,2.119243,57.281,2026-06-01 13:28:48.336000+00:00
41.38349,2.119216,56.761,2026-06-01 13:28:53.337000+00:00
41.383443,2.119236,56.417,2026-06-01 13:28:58.336000+00:00
41.383393,2.119244,56.009,2026-06-01 13:29:02.337000+00:00
41.383348,2.119252,55.76,2026-06-01 13:29:05.336000+00:00
41.38329,2.119274,56.264,2026-06-01 13:29:11.337000+00:00
41.383247,2.119296,56.895,2026-06-01 13:29:16.336000+00:00
41.383199,2.119319,57.61,2026-06-01 13:29:19.337000+00:00
41.383154,2.119356,58.524,2026-06-01 13:29:25.336000+00:00
