X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.118081,41.384708,0,0,0,61.039,2026/06/01 13:15:22+00,,,,,,,,,,,,,,,,,,,,,
2.118106,41.384649,0,0,1,61.001,2026/06/01 13:15:23+00,,,,,,,,,,,,,,,,,,,,,
2.118124,41.384606,0,0,2,61.021,2026/06/01 13:15:24+00,,,,,,,,,,,,,,,,,,,,,
2.11807,41.384641,0,0,3,61.009,2026/06/01 13:15:29+00,,,,,,,,,,,,,,,,,,,,,
2.118137,41.384662,0,0,4,61.035,2026/06/01 13:15:35+00,,,,,,,,,,,,,,,,,,,,,
2.117954,41.385229,0,0,5,61.089,2026/06/01 13:16:41+00,,,,,,,,,,,,,,,,,,,,,
2.117991,41.38519,0,0,6,61.030,2026/06/01 13:17:01+00,,,,,,,,,,,,,,,,,,,,,
2.117596,41.382336,0,0,7,61.085,2026/06/01 13:27:45+00,,,,,,,,,,,,,,,,,,,,,
2.117562,41.382374,0,0,8,62.949,2026/06/01 13:30:04+00,,,,,,,,,,,,,,,,,,,,,
2.117523,41.382412,0,0,9,62.887,2026/06/01 13:30:10+00,,,,,,,,,,,,,,,,,,,,,
2.117504,41.382465,0,0,10,62.694,2026/06/01 13:30:15+00,,,,,,,,,,,,,,,,,,,,,
2.117537,41.382513,0,0,11,61.530,2026/06/01 13:30:20+00,,,,,,,,,,,,,,,,,,,,,
2.117588,41.382549,0,0,12,61.749,2026/06/01 13:30:25+00,,,,,,,,,,,,,,,,,,,,,
2.117643,41.382582,0,0,13,62.243,2026/06/01 13:30:30+00,,,,,,,,,,,,,,,,,,,,,
2.1177,41.382603,0,0,14,62.364,2026/06/01 13:30:34+00,,,,,,,,,,,,,,,,,,,,,
2.117758,41.382632,0,0,15,62.210,2026/06/01 13:30:39+00,,,,,,,,,,,,,,,,,,,,,
2.117735,41.382679,0,0,16,62.409,2026/06/01 13:30:43+00,,,,,,,,,,,,,,,,,,,,,
2.117708,41.382721,0,0,17,62.736,2026/06/01 13:30:47+00,,,,,,,,,,,,,,,,,,,,,
2.117639,41.382721,0,0,18,63.150,2026/06/01 13:30:55+00,,,,,,,,,,,,,,,,,,,,,
2.117591,41.382758,0,0,19,59.021,2026/06/01 13:31:47+00,,,,,,,,,,,,,,,,,,,,,
2.117564,41.382802,0,0,20,58.276,2026/06/01 13:31:56+00,,,,,,,,,,,,,,,,,,,,,
2.117623,41.38279,0,0,21,57.760,2026/06/01 13:33:45+00,,,,,,,,,,,,,,,,,,,,,
2.117671,41.382755,0,0,22,57.748,2026/06/01 13:33:52+00,,,,,,,,,,,,,,,,,,,,,
2.117695,41.382708,0,0,23,57.075,2026/06/01 13:33:57+00,,,,,,,,,,,,,,,,,,,,,
2.117725,41.382665,0,0,24,56.681,2026/06/01 13:34:02+00,,,,,,,,,,,,,,,,,,,,,
2.117687,41.382622,0,0,25,55.880,2026/06/01 13:34:08+00,,,,,,,,,,,,,,,,,,,,,
2.117631,41.382593,0,0,26,55.485,2026/06/01 13:34:13+00,,,,,,,,,,,,,,,,,,,,,
2.117572,41.382569,0,0,27,55.589,2026/06/01 13:34:18+00,,,,,,,,,,,,,,,,,,,,,
2.117516,41.382552,0,0,28,55.917,2026/06/01 13:34:23+00,,,,,,,,,,,,,,,,,,,,,
2.117475,41.382512,0,0,29,56.509,2026/06/01 13:34:29+00,,,,,,,,,,,,,,,,,,,,,
2.117474,41.382465,0,0,30,56.690,2026/06/01 13:34:33+00,,,,,,,,,,,,,,,,,,,,,
2.117453,41.382417,0,0,31,56.614,2026/06/01 13:34:38+00,,,,,,,,,,,,,,,,,,,,,
2.117426,41.382374,0,0,32,56.635,2026/06/01 13:34:42+00,,,,,,,,,,,,,,,,,,,,,
2.117393,41.382327,0,0,33,56.420,2026/06/01 13:34:47+00,,,,,,,,,,,,,,,,,,,,,
2.117346,41.382289,0,0,34,56.254,2026/06/01 13:34:51+00,,,,,,,,,,,,,,,,,,,,,
2.117288,41.382258,0,0,35,55.822,2026/06/01 13:34:56+00,,,,,,,,,,,,,,,,,,,,,
2.117227,41.382231,0,0,36,56.359,2026/06/01 13:35:01+00,,,,,,,,,,,,,,,,,,,,,
2.117169,41.382212,0,0,37,56.965,2026/06/01 13:35:05+00,,,,,,,,,,,,,,,,,,,,,
2.117113,41.382195,0,0,38,57.174,2026/06/01 13:35:09+00,,,,,,,,,,,,,,,,,,,,,
2.117056,41.382177,0,0,39,57.773,2026/06/01 13:35:13+00,,,,,,,,,,,,,,,,,,,,,
2.116987,41.382162,0,0,40,58.085,2026/06/01 13:35:18+00,,,,,,,,,,,,,,,,,,,,,
2.116925,41.382146,0,0,41,58.513,2026/06/01 13:35:23+00,,,,,,,,,,,,,,,,,,,,,
2.11686,41.38213,0,0,42,58.609,2026/06/01 13:35:28+00,,,,,,,,,,,,,,,,,,,,,
2.116798,41.382123,0,0,43,59.499,2026/06/01 13:35:33+00,,,,,,,,,,,,,,,,,,,,,
2.116726,41.382115,0,0,44,59.853,2026/06/01 13:35:39+00,,,,,,,,,,,,,,,,,,,,,
2.116668,41.382094,0,0,45,60.034,2026/06/01 13:35:44+00,,,,,,,,,,,,,,,,,,,,,
