latitude,longitude,elevation,time
41.382849,2.119701,55.05,2026-06-01 13:31:21.002000+00:00
41.382851,2.11964,54.618,2026-06-01 13:31:27.002000+00:00
41.382842,2.119572,54.545,2026-06-01 13:31:33.002000+00:00
41.382815,2.119515,54.528,2026-06-01 13:31:38.002000+00:00
41.382766,2.119528,54.533,2026-06-01 13:31:41.002000+00:00
41.38272,2.119557,54.592,2026-06-01 13:31:45.002000+00:00
41.382678,2.11959,54.773,2026-06-01 13:31:49.002000+00:00
41.382627,2.119617,54.72,2026-06-01 13:31:54.002000+00:00
41.382582,2.119624,54.709,2026-06-01 13:32:00.002000+00:00
41.382537,2.119629,54.661,2026-06-01 13:32:03.002000+00:00
41.382489,2.119636,54.465,2026-06-01 13:32:07.002000+00:00
41.382431,2.119656,54.226,2026-06-01 13:32:11.002000+00:00
41.382372,2.11966,53.951,2026-06-01 13:32:15.002000+00:00
41.382318,2.119669,53.895,2026-06-01 13:32:19.002000+00:00
41.382264,2.119682,53.413,2026-06-01 13:32:24.002000+00:00
41.382222,2.119706,53.11,2026-06-01 13:32:29.002000+00:00
41.382174,2.119732,52.873,2026-06-01 13:32:34.002000+00:00
41.382139,2.119776,52.398,2026-06-01 13:32:38.002000+00:00
41.382089,2.119795,51.974,2026-06-01 13:32:44.002000+00:00
41.382048,2.119822,51.656,2026-06-01 13:32:48.002000+00:00
41.382005,2.119841,51.421,2026-06-01 13:32:52.002000+00:00
41.38195,2.119852,51.209,2026-06-01 13:32:56.002000+00:00
41.381904,2.119872,50.979,2026-06-01 13:33:02.002000+00:00
41.381868,2.119914,50.463,2026-06-01 13:33:05.002000+00:00
41.381826,2.119959,50.144,2026-06-01 13:33:13.002000+00:00
41.381781,2.119973,49.939,2026-06-01 13:33:18.002000+00:00
41.381732,2.119996,49.743,2026-06-01 13:33:25.002000+00:00
41.381688,2.120032,49.651,2026-06-01 13:33:29.002000+00:00
41.381644,2.120073,49.248,2026-06-01 13:33:35.001000+00:00
41.381587,2.120082,48.711,2026-06-01 13:33:39.001000+00:00
41.381528,2.120094,48.176,2026-06-01 13:33:43.001000+00:00
41.381483,2.120093,48.121,2026-06-01 13:33:48.001000+00:00
41.381459,2.120041,48.041,2026-06-01 13:34:31.001000+00:00
41.381468,2.119982,47.905,2026-06-01 13:34:36.001000+00:00
41.381439,2.119932,47.809,2026-06-01 13:34:43.001000+00:00
41.381407,2.119876,47.874,2026-06-01 13:34:49.001000+00:00
41.381371,2.119823,47.868,2026-06-01 13:34:53.001000+00:00
41.38136,2.119764,47.959,2026-06-01 13:35:00.001000+00:00
41.381331,2.1197,47.864,2026-06-01 13:35:06.001000+00:00
41.381297,2.119651,47.918,2026-06-01 13:35:10.001000+00:00
41.381287,2.119587,47.956,2026-06-01 13:35:16.001000+00:00
41.381254,2.11954,47.823,2026-06-01 13:35:21.001000+00:00
41.381236,2.119485,47.786,2026-06-01 13:35:25.001000+00:00
41.381199,2.119442,47.631,2026-06-01 13:35:30.001000+00:00
41.381173,2.119384,47.538,2026-06-01 13:35:34.001000+00:00
41.38113,2.119339,47.37,2026-06-01 13:35:39.001000+00:00
41.381111,2.119269,47.017,2026-06-01 13:35:43.001000+00:00
41.381124,2.119196,47.009,2026-06-01 13:35:47.001000+00:00
41.381163,2.119156,47.065,2026-06-01 13:35:56.001000+00:00
41.381206,2.119129,47.269,2026-06-01 13:36:04.001000+00:00
41.381253,2.119141,47.66,2026-06-01 13:36:09.001000+00:00
41.381294,2.119175,48.085,2026-06-01 13:36:17.001000+00:00
41.381337,2.119146,48.299,2026-06-01 13:36:25.001000+00:00
41.381374,2.119102,48.387,2026-06-01 13:36:30.001000+00:00
41.381429,2.119113,48.474,2026-06-01 13:36:35.001000+00:00
41.381473,2.119127,48.567,2026-06-01 13:36:43.001000+00:00
41.381501,2.11906,48.672,2026-06-01 13:36:53.003000+00:00
41.381544,2.119022,48.942,2026-06-01 13:36:58.003000+00:00
41.381587,2.118988,49.422,2026-06-01 13:37:03.003000+00:00
41.381637,2.118947,49.714,2026-06-01 13:37:10.003000+00:00
41.38167,2.118905,49.709,2026-06-01 13:37:15.003000+00:00
41.381696,2.118853,49.756,2026-06-01 13:37:20.003000+00:00
41.381739,2.11882,49.74,2026-06-01 13:37:27.003000+00:00
41.381784,2.118787,49.741,2026-06-01 13:37:33.003000+00:00
41.381818,2.118745,49.726,2026-06-01 13:37:46.003000+00:00
41.381861,2.118726,49.72,2026-06-01 13:37:50.003000+00:00
41.381908,2.118707,49.778,2026-06-01 13:37:56.003000+00:00
41.381946,2.118666,50.055,2026-06-01 13:38:01.003000+00:00
