latitude,longitude,elevation,time
41.384753,2.118466,58.415,2026-06-01 13:17:26.380000+00:00
41.385173,2.116694,58.665,2026-06-01 13:19:15.579000+00:00
41.385223,2.116718,58.511,2026-06-01 13:19:17.579000+00:00
41.38525,2.116655,58.409,2026-06-01 13:19:20.579000+00:00
41.385247,2.116586,58.693,2026-06-01 13:19:26.996000+00:00
41.385234,2.116525,58.867,2026-06-01 13:19:31.997000+00:00
41.385204,2.116461,59.158,2026-06-01 13:19:36.998000+00:00
41.385189,2.116384,59.133,2026-06-01 13:19:40.998000+00:00
41.385166,2.116314,59.517,2026-06-01 13:19:44.998000+00:00
41.385151,2.116252,59.694,2026-06-01 13:19:49.998000+00:00
41.385099,2.116235,59.699,2026-06-01 13:19:52.998000+00:00
41.385042,2.116211,59.569,2026-06-01 13:19:55.998000+00:00
41.384994,2.116231,59.295,2026-06-01 13:20:00.998000+00:00
41.384945,2.116225,58.915,2026-06-01 13:20:03.998000+00:00
41.384894,2.116226,58.865,2026-06-01 13:20:07.998000+00:00
41.384838,2.116237,58.811,2026-06-01 13:20:11.998000+00:00
41.384779,2.11625,57.709,2026-06-01 13:20:16.998000+00:00
41.384725,2.116248,58.133,2026-06-01 13:20:20.998000+00:00
41.384675,2.116259,58.267,2026-06-01 13:20:24.998000+00:00
41.384618,2.11627,58.198,2026-06-01 13:20:28.998000+00:00
41.384569,2.116282,57.863,2026-06-01 13:20:32.998000+00:00
41.38452,2.116302,58.077,2026-06-01 13:20:36.998000+00:00
41.384471,2.11631,58.134,2026-06-01 13:20:40.998000+00:00
41.384423,2.116318,58.889,2026-06-01 13:20:44.998000+00:00
41.384372,2.116362,58.899,2026-06-01 13:20:48.998000+00:00
41.384331,2.116404,58.925,2026-06-01 13:20:52.998000+00:00
41.384285,2.116414,57.833,2026-06-01 13:20:56.998000+00:00
41.384242,2.116452,57.623,2026-06-01 13:21:00.998000+00:00
41.384199,2.116498,56.915,2026-06-01 13:21:04.998000+00:00
41.384153,2.116544,57.209,2026-06-01 13:21:08.998000+00:00
41.384105,2.116547,57.185,2026-06-01 13:21:12.998000+00:00
41.384056,2.11657,56.999,2026-06-01 13:21:16.998000+00:00
41.384003,2.116597,56.51,2026-06-01 13:21:21.998000+00:00
41.38395,2.116614,56.545,2026-06-01 13:21:25.998000+00:00
41.38395,2.116685,55.619,2026-06-01 13:21:29.998000+00:00
41.383966,2.116759,55.296,2026-06-01 13:21:35.998000+00:00
